"","vivienda","hogar","ind","Tiempo_labores_no_rem"
"1097",1801,1,1,405
"1098",1803,1,1,300
"1099",1803,1,2,25
"1100",1803,1,4,0
"1101",1805,1,1,325
"1102",1807,1,1,210
"1103",1807,1,2,330
"1104",1807,1,3,10
"1105",1810,1,1,240
"1106",1810,1,2,420
"1107",1812,1,1,180
"1108",1812,1,2,130
"1109",1814,1,1,0
"1110",1814,1,2,210
"1111",1815,1,1,570
"1112",1815,1,2,0
"1113",1816,1,1,0
"1114",1816,1,2,315
"1115",1816,1,3,30
"1116",1817,1,1,60
"1117",1819,1,1,140
"1118",1819,1,2,60
"1119",1819,1,3,210
"1120",1819,1,4,0
"1121",1820,1,1,30
"1122",1820,1,2,540
"1123",1821,1,1,40
"1124",1822,1,1,20
"1125",1825,1,1,135
"1126",1825,1,2,120
"1127",1828,1,1,270
"1128",1828,1,2,240
"1129",1834,1,1,110
"1130",1834,1,2,20
"1131",1836,1,1,20
"1132",1836,1,2,200
"1133",1836,1,3,50
"1134",1836,1,4,40
"1135",1836,1,5,40
"1136",1836,1,6,40
"1137",1837,1,1,170
"1138",1837,1,2,45
"1139",1839,1,1,0
"1140",1840,1,1,500
"1141",1840,1,2,60
"1142",1840,1,3,0
"1143",1841,1,1,110
"1144",1846,1,1,365
"1145",1846,1,2,0
"1146",1846,1,3,125
"1147",1847,1,1,360
"1148",1849,1,1,60
"1149",1849,1,2,0
"1150",1852,1,1,120
"1151",1852,1,2,420
"1152",1853,1,1,70
"1153",1853,1,2,0
"1154",1853,1,3,150
"1155",1853,1,4,5
"1156",1853,1,5,0
"1157",1854,1,1,360
"1158",1857,1,1,0
"1159",1857,1,2,235
"1160",1858,1,1,150
"1161",1859,1,1,0
"1162",1859,1,2,100
"1163",1861,1,1,0
"1164",1861,1,2,160
"1165",1861,1,3,25
"1166",1861,1,4,5
"1167",1862,1,1,360
"1168",1862,1,2,0
"1169",1862,1,3,270
"1170",1863,1,1,65
"1171",1864,1,1,0
"1172",1864,1,2,195
"1173",1866,1,1,45
"1174",1866,1,2,30
"1175",1866,1,3,20
"1176",1867,1,1,0
"1177",1868,1,1,60
"1178",1868,1,2,210
"1179",1868,1,3,30
"1180",1870,1,1,0
"1181",1870,1,2,240
"1182",1873,1,1,510
"1183",1874,1,1,180
"1184",1874,1,2,60
"1185",1877,1,1,210
"1186",1877,1,2,450
"1187",1877,1,3,0
"1188",1877,1,4,60
"1189",1878,1,1,315
"1190",1878,1,2,0
"1191",1878,1,3,85
"1192",1878,1,4,30
