"","vivienda","hogar","tipo_ocupacion","subsidio","lavadora","secadora","nevera","licuadora","plancha","estufa","horno","lava_platos","aspiradora","automovil","motocicleta","servicio_dom"
"3496",8264,1,3,0,1,0,1,1,1,1,0,0,0,0,0,0
"3497",8265,1,3,0,1,0,1,1,1,1,0,0,0,0,0,0
"3498",8267,1,3,0,1,0,1,1,0,1,0,0,0,0,1,0
"3499",8269,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0
"3500",8270,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
"3501",8271,1,3,0,0,0,1,1,1,1,0,0,0,0,0,0
"3502",8272,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0
"3503",8273,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1
"3504",8276,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0
"3505",8277,1,4,0,1,0,1,1,0,1,0,0,0,0,1,0
"3506",8278,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0
"3507",8283,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1
"3508",8287,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0
"3509",8289,1,3,0,1,0,1,1,1,1,0,0,0,1,0,0
"3510",8290,1,3,0,1,0,1,1,1,1,1,0,0,1,1,0
"3511",8291,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0
"3512",8292,1,3,0,1,0,1,1,0,1,0,0,0,0,0,0
"3513",8293,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1
"3514",8295,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"3515",8302,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"3516",8307,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0
"3517",8311,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"3518",8313,1,3,0,1,0,1,1,1,1,1,0,0,0,0,0
"3519",8314,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0
"3520",8315,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"3521",8316,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0
"3522",8318,1,3,0,1,0,0,1,0,1,0,0,0,0,0,0
"3523",8320,1,3,0,1,0,1,1,0,1,0,0,0,0,1,0
"3524",8322,1,3,0,1,0,1,1,1,1,0,0,0,0,1,0
"3525",8330,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"3526",8335,1,3,0,0,0,1,1,1,1,0,0,0,0,0,0
"3527",8343,1,4,0,1,0,1,1,1,1,0,0,0,1,0,0
"3528",8344,1,3,0,1,0,1,1,0,1,0,0,0,0,1,0
"3529",8346,1,3,0,1,0,1,1,1,1,0,0,0,0,0,0
"3530",8353,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
"3531",8356,1,3,1,0,0,1,1,0,1,0,0,0,0,1,0
"3532",8359,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0
"3533",8363,1,3,0,1,0,1,0,0,1,1,0,0,1,0,0
"3534",8366,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"3535",8370,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0
"3536",8372,1,4,0,1,0,1,1,1,1,1,0,0,0,0,0
"3537",8374,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"3538",8375,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"3539",8377,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0
"3540",8380,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0
"3541",8388,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0
"3542",8389,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"3543",8390,1,3,0,1,0,1,1,1,1,0,0,0,0,0,0
"3544",8391,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0
"3545",8392,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0
"3546",8393,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"3547",8394,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0
"3548",8395,1,4,0,0,0,1,1,0,1,0,0,0,0,0,0
"3549",8396,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"3550",8396,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"3551",8396,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0
"3552",8397,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0
"3553",8398,1,3,0,1,0,1,1,1,1,0,0,0,0,1,0
"3554",8400,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"3555",8400,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
"3556",8402,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"3557",8404,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"3558",8405,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0
