"","vivienda","hogar","ind","jardin","tiempo_jardin","tiempo_esparcimiento_ninos"
"504",6443,1,3,0,0,0
"505",6443,1,4,0,0,0
"506",6444,1,2,1,0,0
"507",6446,1,4,1,0,0
"508",6447,1,3,0,0,0
"509",6465,1,3,0,0,0
"510",6468,1,3,0,0,0
"511",6468,1,4,0,0,0
"512",6471,1,4,1,0,0
"513",6487,1,4,1,0,0
"514",6499,1,3,1,0,0
"515",6505,1,3,0,0,0
"516",6518,1,4,0,0,0
"517",6528,1,3,1,0,0
"518",6528,1,4,0,0,0
"519",6528,1,5,0,0,0
"520",6539,1,4,1,0,0
"521",6552,1,3,1,0,0
"522",6562,1,3,0,0,0
"523",6565,1,3,0,0,0
"524",6571,1,5,1,0,0
"525",6578,1,4,0,0,0
"526",6598,1,3,0,0,0
"527",6598,1,4,0,0,0
"528",6622,1,3,0,0,0
"529",6623,1,3,0,0,0
"530",6630,1,3,0,0,0
"531",6630,1,5,0,0,0
"532",6631,1,2,0,0,0
"533",6631,1,4,0,0,0
"534",6654,1,3,0,0,0
"535",6656,1,3,1,2,0
"536",6662,1,3,1,0,0
"537",6662,1,4,0,0,0
"538",6663,1,3,0,0,0
"539",6667,1,4,1,0,0
"540",6670,1,6,0,0,0
"541",6701,1,5,1,2,0
"542",6706,1,3,0,0,0
"543",6708,1,3,0,0,0
"544",6710,1,4,0,0,0
"545",6718,1,4,0,0,0
"546",6741,1,4,0,0,0
"547",6750,1,4,0,0,0
"548",6752,1,3,0,0,0
"549",6755,1,7,0,0,0
"550",6765,1,3,0,0,0
"551",6805,1,4,0,0,0
"552",6806,1,3,0,0,0
"553",6818,1,6,0,0,0
"554",6818,1,7,1,0,0
"555",6820,1,4,0,0,0
"556",6825,2,5,1,0,0
"557",6846,1,4,0,0,0
"558",6850,1,3,0,0,0
"559",6854,1,3,0,0,0
"560",6854,1,4,0,0,0
"561",6865,1,4,0,0,0
"562",6881,1,7,1,0,0
"563",6881,1,9,0,0,0
"564",6886,1,6,0,0,0
"565",6890,1,3,0,0,0
"566",6896,1,3,0,0,0
"567",6896,1,4,0,0,0
"568",7511,1,2,1,0,0
"569",7519,1,4,0,0,0
"570",7523,1,5,0,0,0
"571",7546,1,3,0,0,0
"572",7547,1,3,0,0,0
"573",7563,1,4,0,0,0
"574",7568,1,6,0,0,0
"575",7572,1,5,0,0,0
"576",7572,1,8,0,0,0
"577",7572,1,10,0,0,0
"578",7574,1,3,0,0,0
"579",7579,1,3,1,0,0
"580",7588,1,5,0,0,0
"581",7598,1,4,0,0,0
"582",7602,1,4,0,0,0
"583",7610,1,3,0,0,0
"584",7611,1,5,0,0,0
"585",7612,1,9,1,0,0
"586",7620,1,4,0,0,0
"587",7621,1,3,0,0,0
"588",7624,1,3,0,0,0
"589",7628,1,4,1,1,0
"590",7631,1,8,0,0,0
"591",7638,1,4,0,0,0
"592",7639,1,4,0,0,0
"593",7645,1,3,0,0,0
"594",7649,1,3,1,0,0
"595",7663,1,3,1,0,0
"596",7673,1,4,0,0,0
"597",7677,1,6,0,0,0
"598",7684,1,4,0,0,0
"599",7699,1,6,1,0,0
"600",7713,1,3,0,0,0
"601",7730,1,4,0,0,0
"602",7736,1,3,0,0,0
"603",7741,1,5,0,0,0
"604",7752,1,3,0,0,0
"605",7764,1,6,1,0,0
"606",7776,1,5,0,0,0
"607",7825,1,4,0,0,0
"608",7844,1,5,1,0,0
"609",7848,1,3,0,0,0
"610",7860,1,3,0,0,0
"611",7881,1,3,0,0,0
"612",7881,1,4,0,0,0
"613",7882,1,4,0,0,0
"614",7895,1,7,1,0,0
"615",7896,1,4,0,0,0
"616",7914,1,3,0,0,0
"617",7927,1,2,0,0,0
"618",7927,1,3,0,0,0
"619",7932,1,4,0,0,0
"620",7943,1,3,0,0,0
"621",7948,1,3,1,0,0
"622",7978,1,3,0,0,0
"623",7980,1,4,0,0,0
"624",7996,1,7,1,0,0
"625",7998,1,3,0,0,0
"626",8010,1,5,0,0,0
"627",8010,1,6,0,0,0
"628",8027,1,4,0,0,0
"629",8031,1,8,0,0,0
"630",8032,1,5,0,0,0
"631",8052,1,3,0,0,0
"632",8065,1,6,1,0,0
"633",8065,1,7,1,0,0
"634",8070,1,3,0,0,0
"635",8085,1,6,0,0,0
"636",8090,1,5,1,0,0
"637",8097,1,4,0,0,0
"638",8098,1,3,1,0,0
"639",8100,1,3,0,0,0
