"","vivienda","tipo_vivienda","electricidad","acueducto","alcantarillado","recoleccion_basuras","internet","gas","mes_ref","dia_ref","cabecera","region"
"21678",38512,2,1,1,0,1,0,0,2,6,1,1
"21679",38513,2,1,1,1,1,1,1,2,5,1,4
"21680",38514,1,1,1,1,1,0,0,2,7,1,2
"21681",38517,2,1,1,1,1,1,1,1,1,1,2
"21682",38519,1,1,1,1,1,0,1,2,4,1,3
"21683",38520,2,1,1,1,1,1,1,2,7,1,2
"21684",38521,2,1,1,1,1,0,0,2,2,1,2
"21685",38522,1,1,1,1,1,1,0,2,6,1,3
"21686",38524,2,1,0,0,1,1,1,2,5,1,1
"21687",38527,1,1,1,1,1,1,1,2,7,1,3
"21688",38528,1,1,1,1,1,1,1,2,2,1,2
"21689",38529,2,1,1,0,0,0,0,2,4,0,1
"21690",38531,1,1,1,1,1,0,1,2,1,1,1
"21691",38532,1,1,1,1,1,1,1,2,5,1,6
"21692",38533,2,1,1,1,1,1,1,2,1,1,3
"21693",38534,2,1,1,1,1,1,1,2,6,1,4
"21694",38535,1,1,1,1,1,1,0,2,7,1,3
"21695",38536,1,1,1,1,1,1,1,2,6,1,1
"21696",38537,2,1,1,1,1,1,1,2,5,1,5
"21697",38538,1,1,1,1,1,0,1,2,6,1,3
"21698",38540,2,1,1,1,1,1,1,2,7,1,4
"21699",38542,1,1,0,0,0,1,0,2,7,0,1
"21700",38543,2,1,1,1,1,1,1,2,7,1,2
"21701",38544,1,1,1,1,1,0,1,2,1,1,1
"21702",38546,2,1,1,1,1,0,1,2,6,1,5
"21703",38547,1,1,1,1,1,0,1,2,6,1,4
"21704",38548,1,1,1,1,1,0,1,2,7,1,1
"21705",38549,1,1,0,0,0,0,0,2,7,0,1
"21706",38550,2,1,1,1,1,1,1,2,7,1,2
"21707",38551,1,1,1,1,1,1,1,2,5,0,4
"21708",38552,1,1,1,1,1,1,1,2,4,1,3
"21709",38554,1,1,1,1,1,0,1,2,7,1,1
"21710",38555,1,1,1,0,1,0,1,2,6,1,1
"21711",38558,1,0,0,0,0,0,0,2,5,0,1
"21712",38559,1,1,0,0,1,1,0,2,5,1,6
"21713",38560,2,1,1,1,1,1,1,2,6,1,1
"21714",38561,1,1,1,1,1,1,1,2,7,1,3
"21715",38562,2,1,1,1,1,1,1,2,6,1,5
"21716",38563,1,1,1,1,1,0,1,2,2,1,1
"21717",38564,2,1,1,1,1,1,1,2,5,1,3
"21718",38566,1,1,0,0,0,0,0,2,6,0,1
"21719",38567,1,1,1,1,1,1,1,2,7,1,1
