DIRECTORIO,SECUENCIA_P,ORDEN,P1165,P1164,P1178,P1178S1,P1163_1,P1163S1,P1163_2,P1163S2,P1163_3,P1163S3,P1163_4,P1163S4,P1162S1,P1162S1A1,P1162S1A2,P1162S2,P1162S2A1,P1162S2A2,P1162S3,P1162S3A1,P1162S3A2,P1162S4,P1162S4A1,P1162S4A2,P1162S5,P1162S5A1,P1162S5A2,P1162S6,P1162S6A1,P1162S6A2,F_EXP
2880,1,6,1,1,2,,1,24,,,,,,,1,3,0,1,3,0,1,1,0,1,0,30,,,,,,,291.58833246
2915,1,8,2,,,,1,24,,,,,,,1,0,30,1,8,0,1,12,0,,,,,,,,,,435.53315407
2940,1,3,1,3,2,,1,24,,,,,,,1,4,0,1,6,0,1,8,0,1,4,0,,,,,,,583.68752413
2952,1,5,2,,,,1,24,,,,,,,1,2,0,1,3,0,1,14,0,,,,,,,,,,687.04820123
2987,1,4,2,,,,1,24,,,,,,,1,5,0,1,6,0,1,9,0,1,4,0,,,,,,,468.7145088
2990,1,5,1,2,2,,1,24,,,,,,,1,3,15,1,3,30,1,8,0,,,,,,,,,,731.4886083
3000,1,6,1,3,2,,1,24,,,,,,,1,5,0,1,4,0,1,13,0,,,,,,,,,,421.13479673
3000,1,11,1,3,2,,1,24,,,,,,,1,2,0,1,10,0,1,10,0,,,,,,,,,,421.13479673
3025,1,3,2,,,,1,24,,,,,,,1,1,30,1,5,0,1,10,30,1,1,0,,,,,,,338.3123626
3027,1,4,2,,,,1,24,,,,,,,1,4,0,1,6,0,1,14,0,1,1,0,,,,,,,300.43114444
3033,1,3,1,1,2,,1,24,,,,,,,1,1,20,1,5,20,1,12,0,,,,,,,,,,339.2376975
3038,1,5,1,3,2,,1,24,,,,,,,1,6,0,1,5,0,1,11,0,1,3,0,,,,,,,283.57266591
3051,1,4,2,,,,1,24,,,,,,,,,,1,2,0,1,14,0,,,,,,,,,,534.39242773
3068,1,3,1,2,2,,1,24,,,,,,,,,,1,3,0,,,,,,,,,,,,,872.57789017
3095,1,4,2,,,,1,24,,,,,,,1,6,0,1,6,0,1,12,0,,,,,,,,,,353.3404533
3108,1,2,1,2,2,,1,24,,,,,,,,,,1,4,0,1,11,0,1,2,0,,,,,,,389.81045357
3116,1,5,2,,,,1,24,,,,,,,,,,1,9,0,1,15,0,,,,,,,,,,377.32295987
3133,1,3,2,,,,1,24,,,,,,,,,,1,6,0,1,2,0,,,,,,,,,,338.24746223
3133,1,4,2,,,,1,24,,,,,,,,,,1,6,0,1,2,0,,,,,,,,,,338.24746223
3135,1,3,2,,,,1,24,,,,,,,1,2,0,1,8,0,,,,1,2,0,,,,,,,472.882678
3146,1,3,2,,,,1,24,,,,,,,,,,,,,1,10,0,,,,,,,,,,325.20283417
3802,1,5,1,2,2,,1,20,,,,,,,,,,1,2,0,1,1,0,,,,,,,,,,558.18187597
3805,1,6,1,3,2,,1,24,,,,,,,,,,1,0,20,1,10,0,1,0,20,,,,,,,857.2735622
3806,1,5,2,,,,1,24,,,,,,,1,0,10,1,7,0,1,12,0,1,0,10,,,,,,,263.92282651
3812,1,5,2,,,,1,24,,,,,,,,,,1,2,0,1,14,0,,,,,,,,,,1883.2327843
3813,1,6,1,1,2,,1,24,,,,,,,,,,1,3,0,1,9,0,,,,,,,,,,375.8032221
3814,1,5,2,,,,1,24,,,,,,,,,,,,,1,12,0,,,,,,,,,,386.320662
3824,1,4,2,,,,1,24,,,,,,,1,6,30,1,6,0,1,11,30,,,,,,,,,,649.91942653
3843,1,4,2,,,,1,24,,,,,,,,,,1,10,0,1,12,0,,,,,,,,,,375.0967363
3856,1,4,2,,,,1,24,,,,,,,,,,1,7,0,1,15,0,,,,,,,,,,509.6766867
3864,1,3,1,2,2,,1,20,1,4,,,,,1,1,0,1,9,0,1,12,45,1,1,0,,,,,,,785.76267103
3866,1,4,1,3,2,,1,16,,,,,,,1,2,0,1,4,0,1,8,0,1,2,0,1,1,0,,,,312.82124373
3867,1,6,1,1,2,,1,24,,,,,,,1,2,30,1,4,0,1,9,0,,,,,,,,,,402.75838803
3890,1,4,2,,,,1,24,,,,,,,,,,1,3,0,1,10,0,,,,,,,,,,750.29220683
3899,1,3,1,4,1,4,1,24,,,,,,,1,2,0,1,2,0,1,14,0,1,1,0,,,,,,,477.4919854
3908,1,9,2,,,,1,24,,,,,,,,,,,,,1,10,0,,,,,,,,,,66.83236437
3918,1,4,1,1,2,,1,24,,,,,,,,,,,,,1,2,0,,,,,,,,,,252.99356992
3918,1,5,2,,,,1,24,,,,,,,,,,,,,1,2,0,,,,,,,,,,252.99356992
3924,1,5,2,,,,1,24,,,,,,,1,5,0,1,7,0,1,11,0,1,2,0,,,,,,,16.957977411
3924,1,6,2,,,,1,24,,,,,,,1,4,0,1,8,0,1,12,0,,,,,,,,,,16.957977411
3925,1,4,1,2,2,,1,24,,,,,,,,,,1,3,0,1,10,0,1,1,0,,,,,,,273.37939126
3931,1,6,2,,,,1,24,,,,,,,,,,1,8,0,1,12,0,1,4,0,,,,,,,155.35229904
3959,1,5,2,,,,1,24,,,,,,,,,,1,5,0,1,12,0,,,,,,,,,,1594.9685539
3963,1,2,2,,,,1,24,,,,,,,,,,,,,1,15,0,,,,,,,,,,149.82446653
